Organization ,pubs1990 ,pubs1991 ,pubs1992 ,pubs1993 ,pubs1994 ,pubs1995 ,pubs1996 ,pubs1997 ,pubs1998 ,pubs1999 ,pubs2000 ,pubs2001 ,pubs2002 ,pubs2003 ,pubs2004 ,pubs2005 ,pubs2006 ,pubs2007 ,pubs2008 ,pubs2009 ,pubs2010 ,pubs2011 ,pubs2012 ,pubs2013 ,pubs2014 ,pubs2015 ,pubs2016 ,pubs2017 ,pubs2018 
"Northern Iowa, University of",0,0,0,0,1 ,0,0,1 ,1 ,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nottingham, University of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0,0,0,1 ,0,0,0,1 
Ohio University - Athens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,0,0,0,1 ,0,0,0,0,0,1 ,0
Ozyegin University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,1 ,1 ,0,0,0
Rochester Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0,1 
Saint Louis University,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,0,0,1 ,0,0
San Francisco State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,0,0,0,1 ,1 ,0
Seton Hall University,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0,0,1 ,0,0,0,0,0,0,0,0,1 
Technion (Israel),0,0,2 ,1 ,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Towson State University,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,0,1 ,0,0,0,0,0
U Toulouse I Capitole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,0,0,0
Universidade Catolica Portuguesa,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0,1 ,0,0,0,0,0
Universita di Napoli,0,0,0,0,0,0,1 ,1 ,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,1 ,0,0,0,0,0
Universite Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,2 ,1 
University of Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,0,0
Villanova University,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0,0,0,0,0,0,0,0,1 ,1 
Yonsei University - S. Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0,1 ,0,0,0,1 ,0,0,0
Australian Graduate School of Management,0,0,0,0,0,0,0,1 ,0,0,1 ,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Gurion University,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California State U. - Northridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0,0,1 ,0,0,0,0,0,0,0
"California, U. of - Santa Cruz",0,1 ,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0
Cambridge Judge Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,2 ,0
"Chile, University of",0,0,1 ,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
Chung-Ang University,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,0,0,0,0
Duisenberg School of Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,1 ,0,0,0,0
"Glasgow University, UK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0,1 
Gonzaga University,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0
"Gothenburg, University of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,2 
"Guelph, U. of",1 ,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0
Hankuk University of Foreign Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0,0,0,0,0,1 ,0,0,0,0,0,0
Hitotsubashi University,0,0,0,0,1 ,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0
IE Business School Maria de Molina 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,2 
IESE Business School (Barcelona),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,1 
Kennesaw State University,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0
Kent State University,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0,0,0
"New Hampshire, U. of - Durham",1 ,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0
New Mexico State University,0,0,0,0,0,0,1 ,1 ,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Arizona University,2 ,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oakland University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,0,0,1 
Oregon State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,1 ,0,0,0,0,0,0
Pace University - NY,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,1 ,0,0,0,0,0,0,0,0,0,0,0
Pepperdine University - Culver City,0,0,0,0,0,1 ,0,0,0,0,1 ,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piraeus, University of",0,0,0,0,2 ,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Mary University of London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,2 ,0
Queensland University of Technology,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 
Quinnipiac University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0,1 ,0,0,0
Renmin U China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0,1 ,0
"Richmond, U. of",0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0
"Salerno, U. of ",0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,0,0
Shanghai Advanced Institute of Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,2 ,0
State U. of New York (SUNY) - Stony Brook,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0
"Strathclyde, University of",0,0,0,0,1 ,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Study Center Gerzensee,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0
"Turin, U of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,1 ,0,0,0
Universidad Torcuato Di Tella,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0
Universita della Svizzera Italiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 
Universite Catholique de Louvain,0,0,0,0,0,0,2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
Universite de Montreal,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,0
University of Calgary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,1 ,0,0,0,0
"University of California, San Diego",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,2 
University of Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0,0,0,0,0,1 
University of Texas ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,1 
"Virginia School of Law, U. of",0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,1 ,0,0,0,0
VU University in Amsterdam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,1 ,0
WHU - Otto Beisheim School of Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,1 
Williams College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0,0,0,1 ,0
"Adelaide, University of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 
"Alabama, University of - Birmingham",0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBA Graduate Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0,0,0,0,0,0
American University in Dubai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0
Arison School of Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0,0,0,0,0,0
"Bergen, University of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0
"Bielefeld, University of",0,1 ,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham University (England),0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0
"Bristol, U. of ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,1 
Brock University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,1 ,0
Ca'Foscari U Venice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0
California Polytechnic State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,0,0,0
"California, U. of - Santa Barbara",0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0
Cardiff University,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Univerisity Finance and Economics - Beijing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0
Chapman University,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
China Economics and Management Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0
City University of New York,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNEF Colegio Universitario de Estudios Financieros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0
Ecole Superieure de Commerce de Toulouse,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0
Ehwa Women's University,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0
EMLYON Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 
Free University of Brussels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,1 ,0,0
Fuqua School of Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,0
Hanken School of Economics and Business Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0,0,0,0
"Hanyang University, Seoul",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0,0,0,0,0,0,0
Indiana University–Purdue University Fort Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0
Johann Wolfgang Goethe-University Frankfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0
Johannes-Gutenberg Universitat,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0
KyungHee University,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0
Leibniz U Hannover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0
"Limburg, University of",1 ,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memorial University of Newfoundland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,0,0,0,0,0,0,0,0,0,0
"Michigan, U. of - Dearborn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,0,0,0
"Missouri, U. of - Saint Louis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0,0,0,0,0,0,0,0,0
"Montana, University of",0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanzan University - Japan,0,1 ,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naval Postgraduate School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,1 
"Neuchatel, U Of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,0,0,0,0,0,0
"North Carolina, U. of - Greensboro",0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0
"North Texas, U. of - Denton",0,0,0,0,0,0,0,1 ,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Dominion University,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otago, U. of - New Zealand",0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0
Pavia University,0,0,0,0,0,1 ,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontifical Catholic U. of Rio de Janeiro,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0
"Quebec, U. of - Montreal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,0,0,0
"Queen's U. and Institute for Policy Analysis - Toronto, Ontario, Canada",0,1 ,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSM Erasmus University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0
Rutgers University - Camden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0,0,0,0,0
"Saskatchewan, U. of",1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0
Shanghai Jiao Tong University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 
Sogang University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,1 ,0,0,0
Solvay Brussels School- Economics & Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0
St. John's University (New York),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0,0,0
"St. Thomas, U. of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0
Swedish Institute for Financial Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0,0,0,0
Tanaka Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0,0,0,0,0,0
"Texas, U. of - El Paso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,1 
"Thunderbird, Garvin School of International Management",0,0,0,0,0,0,1 ,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinity College,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
"Tsukuba, U. of",0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0
U CEU Cardenal Herrera - Elche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0
Universidad Autonoma de Madrid,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0
Universidad de Adolfo Ibanez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0,0,0,0,0
Universidad de los Andes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0
Universita di Salerno,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0
Universita di Siena (Italy),0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0
Universita di Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,1 ,0
Universitat Basel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0
Universite de Grenoble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0,0
Universite Laval - Quebec,1 ,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University College Dublin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0
"University College, U.K.",0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0
University of Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 
University of Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0,0,0,0
University of Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 
University of Venice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0,0,0,0
University of Virginia ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 
University of York ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,1 ,0
Victoria University of Wellington,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Commonwealth University,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waseda University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0,0
West Virginia University,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0
"Western Ontario, University of ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 
Winthrop College,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0
Yuan Ze University - Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0,0
Z-center-DO NOT USE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0,0,0
Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0
"Aberdeen, University of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0
Ajou University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0
Allianz Global Investors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0
American University of Beirut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American University of Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0
Appalachian State University,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Applied Sciences Northwestern Switzerland, University of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
"Arizona, University of (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0
Aston University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
"Athens, University of",0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audencia Nantes School of Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0
Babes-Bolyai University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0
"Bard College, Jerome Levy Econ",0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bentley University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0
Bilkent University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0
Bogazici University,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowling Green State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0
BYU - Hawaii,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calabria, University of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0
California State U. - San Marcos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"California, University of - Merced",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0
Capital University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0
Carleton University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catholic University Leuven,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catholic University Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0
Catholic University Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0
"Center for Advanced Studies, HSE Moscow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0
Central Michigan University,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Missouri State U.,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark University,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland State University,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colgate Univeristy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
"College at Brockport, SUNY",1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado State ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0
Colorado State University ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0
