Organization ,pubs1990 ,pubs1991 ,pubs1992 ,pubs1993 ,pubs1994 ,pubs1995 ,pubs1996 ,pubs1997 ,pubs1998 ,pubs1999 ,pubs2000 ,pubs2001 ,pubs2002 ,pubs2003 ,pubs2004 ,pubs2005 ,pubs2006 ,pubs2007 ,pubs2008 ,pubs2009 ,pubs2010 ,pubs2011 ,pubs2012 ,pubs2013 ,pubs2014 ,pubs2015 ,pubs2016 ,pubs2017 ,pubs2018 
Purdue University,2 ,5 ,2 ,0,2 ,4 ,2 ,4 ,3 ,2 ,3 ,2 ,2 ,5 ,4 ,1 ,4 ,2 ,3 ,4 ,5 ,4 ,2 ,6 ,4 ,2 ,3 ,3 ,3 
"Utah, University of",0,3 ,0,2 ,2 ,1 ,5 ,2 ,2 ,0,0,1 ,5 ,5 ,4 ,2 ,4 ,5 ,6 ,7 ,5 ,2 ,3 ,3 ,3 ,6 ,3 ,2 ,5 
Emory University,1 ,0,1 ,0,1 ,0,0,2 ,0,2 ,1 ,6 ,5 ,2 ,8 ,5 ,9 ,3 ,4 ,7 ,4 ,2 ,2 ,6 ,2 ,2 ,3 ,4 ,4 
"Minnesota, U. of - Minneapolis",0,1 ,2 ,3 ,1 ,1 ,3 ,0,3 ,1 ,3 ,1 ,2 ,3 ,3 ,3 ,1 ,5 ,3 ,2 ,3 ,2 ,6 ,9 ,4 ,7 ,3 ,6 ,5 
"Notre Dame, University of",1 ,0,1 ,0,2 ,1 ,0,3 ,1 ,4 ,4 ,3 ,6 ,2 ,2 ,5 ,3 ,1 ,2 ,4 ,1 ,5 ,6 ,6 ,4 ,3 ,3 ,5 ,7 
Carnegie Mellon University,1 ,3 ,4 ,4 ,1 ,2 ,2 ,4 ,2 ,4 ,1 ,6 ,1 ,3 ,3 ,2 ,1 ,3 ,0,1 ,7 ,1 ,2 ,3 ,2 ,3 ,4 ,8 ,3 
INSEAD,1 ,1 ,1 ,0,1 ,2 ,0,0,2 ,2 ,1 ,3 ,3 ,1 ,3 ,5 ,3 ,2 ,6 ,6 ,6 ,3 ,3 ,6 ,6 ,5 ,2 ,4 ,3 
Tilburg University,0,0,0,0,0,0,1 ,0,1 ,0,1 ,2 ,0,2 ,1 ,3 ,1 ,1 ,6 ,5 ,7 ,9 ,6 ,9 ,3 ,2 ,8 ,5 ,5 
Dartmouth College,1 ,1 ,1 ,1 ,0,1 ,1 ,0,1 ,4 ,3 ,3 ,3 ,4 ,2 ,1 ,7 ,2 ,6 ,2 ,4 ,4 ,1 ,1 ,3 ,6 ,5 ,4 ,5 
"Virginia, University of",1 ,2 ,0,0,3 ,0,1 ,1 ,2 ,1 ,2 ,3 ,3 ,4 ,2 ,2 ,3 ,3 ,5 ,7 ,4 ,3 ,4 ,3 ,3 ,2 ,5 ,3 ,4 
